division,crime_type,year,cases
jurong police division - woodlands npc,housebreaking,2022,0
jurong police division - woodlands npc,housebreaking,2021,0
jurong police division - woodlands npc,housebreaking,2020,0
jurong police division - woodlands npc,housebreaking,2019,0
jurong police division - woodlands npc,housebreaking,2018,0
jurong police division - woodlands npc,housebreaking,2017,0
jurong police division - woodlands npc,housebreaking,2016,0
jurong police division - woodlands npc,housebreaking,2015,0
jurong police division - woodlands npc,housebreaking,2014,0
jurong police division - woodlands npc,housebreaking,2013,0
jurong police division - woodlands npc,housebreaking,2012,0
jurong police division - woodlands npc,housebreaking,2011,54
jurong police division - woodlands npc,snatch theft,2024,0
jurong police division - woodlands npc,snatch theft,2023,0
jurong police division - woodlands npc,snatch theft,2022,0
jurong police division - woodlands npc,snatch theft,2021,0
jurong police division - woodlands npc,snatch theft,2020,0
jurong police division - woodlands npc,snatch theft,2019,0
jurong police division - woodlands npc,snatch theft,2018,0
jurong police division - woodlands npc,snatch theft,2017,0
jurong police division - woodlands npc,snatch theft,2016,0
jurong police division - woodlands npc,snatch theft,2015,0
jurong police division - woodlands npc,snatch theft,2014,0
jurong police division - woodlands npc,snatch theft,2013,0
jurong police division - woodlands npc,snatch theft,2012,0
jurong police division - woodlands npc,snatch theft,2011,13
jurong police division - woodlands npc,theft of motor vehicle,2024,0
jurong police division - woodlands npc,theft of motor vehicle,2023,0
jurong police division - woodlands npc,theft of motor vehicle,2022,0
jurong police division - woodlands npc,theft of motor vehicle,2021,0
jurong police division - woodlands npc,theft of motor vehicle,2020,0
jurong police division - woodlands npc,theft of motor vehicle,2019,0
jurong police division - woodlands npc,theft of motor vehicle,2018,0
jurong police division - woodlands npc,theft of motor vehicle,2017,0
jurong police division - woodlands npc,theft of motor vehicle,2016,0
jurong police division - woodlands npc,theft of motor vehicle,2015,0
jurong police division - woodlands npc,theft of motor vehicle,2014,0
jurong police division - woodlands npc,theft of motor vehicle,2013,0
jurong police division - woodlands npc,theft of motor vehicle,2012,0
jurong police division - woodlands npc,theft of motor vehicle,2011,62
jurong police division - woodlands npc,outrage of modesty,2024,0
jurong police division - woodlands npc,outrage of modesty,2023,0
jurong police division - woodlands npc,outrage of modesty,2022,0
jurong police division - woodlands npc,outrage of modesty,2021,0
jurong police division - woodlands npc,outrage of modesty,2020,0
jurong police division - woodlands npc,outrage of modesty,2019,0
jurong police division - woodlands npc,outrage of modesty,2018,0
jurong police division - woodlands npc,outrage of modesty,2017,0
jurong police division - woodlands npc,outrage of modesty,2016,0
jurong police division - woodlands npc,outrage of modesty,2015,0
jurong police division - woodlands npc,outrage of modesty,2014,0
jurong police division - woodlands npc,outrage of modesty,2013,0
jurong police division - woodlands npc,outrage of modesty,2012,0
jurong police division - woodlands npc,outrage of modesty,2011,83
jurong police division - woodlands east npc,robbery,2024,0
jurong police division - woodlands east npc,robbery,2023,0
jurong police division - woodlands east npc,robbery,2022,0
jurong police division - woodlands east npc,robbery,2021,0
jurong police division - woodlands east npc,robbery,2020,0
jurong police division - woodlands east npc,robbery,2019,0
jurong police division - woodlands east npc,robbery,2018,0
jurong police division - woodlands east npc,robbery,2017,1
jurong police division - woodlands east npc,robbery,2016,1
jurong police division - woodlands east npc,robbery,2015,1
jurong police division - woodlands east npc,robbery,2014,11
jurong police division - woodlands east npc,robbery,2013,5
jurong police division - woodlands east npc,robbery,2012,8
jurong police division - woodlands east npc,robbery,2011,0
jurong police division - woodlands east npc,housebreaking,2024,0
jurong police division - woodlands east npc,housebreaking,2023,0
jurong police division - woodlands east npc,housebreaking,2022,0
jurong police division - woodlands east npc,housebreaking,2021,0
jurong police division - woodlands east npc,housebreaking,2020,0
jurong police division - woodlands east npc,housebreaking,2019,0
jurong police division - woodlands east npc,housebreaking,2018,2
jurong police division - woodlands east npc,housebreaking,2017,4
jurong police division - woodlands east npc,housebreaking,2016,2
jurong police division - woodlands east npc,housebreaking,2015,2
jurong police division - woodlands east npc,housebreaking,2014,4
jurong police division - woodlands east npc,housebreaking,2013,22
jurong police division - woodlands east npc,housebreaking,2012,12
jurong police division - woodlands east npc,housebreaking,2011,0
jurong police division - woodlands east npc,snatch theft,2024,0
jurong police division - woodlands east npc,snatch theft,2023,0
jurong police division - woodlands east npc,snatch theft,2022,0
jurong police division - woodlands east npc,snatch theft,2021,0
jurong police division - woodlands east npc,snatch theft,2020,0
jurong police division - woodlands east npc,snatch theft,2019,0
jurong police division - woodlands east npc,snatch theft,2018,1
jurong police division - woodlands east npc,snatch theft,2017,2
jurong police division - woodlands east npc,snatch theft,2016,3
jurong police division - woodlands east npc,snatch theft,2015,1
jurong police division - woodlands east npc,snatch theft,2014,14
jurong police division - woodlands east npc,snatch theft,2013,7
jurong police division - woodlands east npc,snatch theft,2012,9
jurong police division - woodlands east npc,snatch theft,2011,0
jurong police division - woodlands east npc,theft of motor vehicle,2024,0
jurong police division - woodlands east npc,theft of motor vehicle,2023,0
jurong police division - woodlands east npc,theft of motor vehicle,2022,0
jurong police division - woodlands east npc,theft of motor vehicle,2021,0
jurong police division - woodlands east npc,theft of motor vehicle,2020,0
jurong police division - woodlands east npc,theft of motor vehicle,2019,0
jurong police division - woodlands east npc,theft of motor vehicle,2018,7
jurong police division - woodlands east npc,theft of motor vehicle,2017,6
jurong police division - woodlands east npc,theft of motor vehicle,2016,9
jurong police division - woodlands east npc,theft of motor vehicle,2015,13
jurong police division - woodlands east npc,theft of motor vehicle,2014,35
jurong police division - woodlands east npc,theft of motor vehicle,2013,15
jurong police division - woodlands east npc,theft of motor vehicle,2012,27
jurong police division - woodlands east npc,theft of motor vehicle,2011,0
jurong police division - woodlands east npc,outrage of modesty,2024,0
jurong police division - woodlands east npc,outrage of modesty,2023,0
jurong police division - woodlands east npc,outrage of modesty,2022,0
jurong police division - woodlands east npc,outrage of modesty,2021,0
jurong police division - woodlands east npc,outrage of modesty,2020,0
jurong police division - woodlands east npc,outrage of modesty,2019,0
jurong police division - woodlands east npc,outrage of modesty,2018,41
jurong police division - woodlands east npc,outrage of modesty,2017,47
jurong police division - woodlands east npc,outrage of modesty,2016,36
jurong police division - woodlands east npc,outrage of modesty,2015,33
jurong police division - woodlands east npc,outrage of modesty,2014,43
jurong police division - woodlands east npc,outrage of modesty,2013,44
jurong police division - woodlands east npc,outrage of modesty,2012,58
jurong police division - woodlands east npc,outrage of modesty,2011,0
jurong police division - woodlands west npc,robbery,2024,0
jurong police division - woodlands west npc,robbery,2023,0
jurong police division - woodlands west npc,robbery,2022,0
jurong police division - woodlands west npc,robbery,2021,0
jurong police division - woodlands west npc,robbery,2020,0
jurong police division - woodlands west npc,robbery,2019,0
jurong police division - woodlands west npc,robbery,2018,9
jurong police division - woodlands west npc,robbery,2017,1
jurong police division - woodlands west npc,robbery,2016,3
jurong police division - woodlands west npc,robbery,2015,6
jurong police division - woodlands west npc,robbery,2014,10
jurong police division - woodlands west npc,robbery,2013,11
jurong police division - woodlands west npc,robbery,2012,13
jurong police division - woodlands west npc,robbery,2011,0
jurong police division - woodlands west npc,housebreaking,2024,0
jurong police division - woodlands west npc,housebreaking,2023,0
jurong police division - woodlands west npc,housebreaking,2022,0
jurong police division - woodlands west npc,housebreaking,2021,0
jurong police division - woodlands west npc,housebreaking,2020,0
jurong police division - woodlands west npc,housebreaking,2019,0
jurong police division - woodlands west npc,housebreaking,2018,5
jurong police division - woodlands west npc,housebreaking,2017,3
jurong police division - woodlands west npc,housebreaking,2016,9
jurong police division - woodlands west npc,housebreaking,2015,12
jurong police division - woodlands west npc,housebreaking,2014,13
jurong police division - woodlands west npc,housebreaking,2013,10
jurong police division - woodlands west npc,housebreaking,2012,14
jurong police division - woodlands west npc,housebreaking,2011,0
jurong police division - woodlands west npc,snatch theft,2024,0
jurong police division - woodlands west npc,snatch theft,2023,0
jurong police division - woodlands west npc,snatch theft,2022,0
jurong police division - woodlands west npc,snatch theft,2021,0
jurong police division - woodlands west npc,snatch theft,2020,0
jurong police division - woodlands west npc,snatch theft,2019,0
jurong police division - woodlands west npc,snatch theft,2018,0
jurong police division - woodlands west npc,snatch theft,2017,1
jurong police division - woodlands west npc,snatch theft,2016,6
jurong police division - woodlands west npc,snatch theft,2015,4
jurong police division - woodlands west npc,snatch theft,2014,7
jurong police division - woodlands west npc,snatch theft,2013,5
jurong police division - woodlands west npc,snatch theft,2012,13
jurong police division - woodlands west npc,snatch theft,2011,0
jurong police division - woodlands west npc,theft of motor vehicle,2024,0
jurong police division - woodlands west npc,theft of motor vehicle,2023,0
jurong police division - woodlands west npc,theft of motor vehicle,2022,0
jurong police division - woodlands west npc,theft of motor vehicle,2021,0
jurong police division - woodlands west npc,theft of motor vehicle,2020,0
jurong police division - woodlands west npc,theft of motor vehicle,2019,0
jurong police division - woodlands west npc,theft of motor vehicle,2018,2
jurong police division - woodlands west npc,theft of motor vehicle,2017,9
jurong police division - woodlands west npc,theft of motor vehicle,2016,12
jurong police division - woodlands west npc,theft of motor vehicle,2015,15
jurong police division - woodlands west npc,theft of motor vehicle,2014,17
jurong police division - woodlands west npc,theft of motor vehicle,2013,17
jurong police division - woodlands west npc,theft of motor vehicle,2012,37
jurong police division - woodlands west npc,theft of motor vehicle,2011,0
jurong police division - woodlands west npc,outrage of modesty,2024,0
jurong police division - woodlands west npc,outrage of modesty,2023,0
jurong police division - woodlands west npc,outrage of modesty,2022,0
jurong police division - woodlands west npc,outrage of modesty,2021,0
jurong police division - woodlands west npc,outrage of modesty,2020,0
jurong police division - woodlands west npc,outrage of modesty,2019,0
jurong police division - woodlands west npc,outrage of modesty,2018,43
jurong police division - woodlands west npc,outrage of modesty,2017,56
jurong police division - woodlands west npc,outrage of modesty,2016,33
jurong police division - woodlands west npc,outrage of modesty,2015,45
jurong police division - woodlands west npc,outrage of modesty,2014,44
jurong police division - woodlands west npc,outrage of modesty,2013,44
jurong police division - woodlands west npc,outrage of modesty,2012,41
jurong police division - woodlands west npc,outrage of modesty,2011,0
jurong police division - unknown npc,robbery,2024,0
jurong police division - unknown npc,robbery,2023,0
jurong police division - unknown npc,robbery,2022,0
jurong police division - unknown npc,robbery,2021,0
jurong police division - unknown npc,robbery,2020,0
jurong police division - unknown npc,robbery,2019,0
jurong police division - unknown npc,robbery,2018,0
jurong police division - unknown npc,robbery,2017,0
jurong police division - unknown npc,robbery,2016,0
jurong police division - unknown npc,robbery,2015,0
jurong police division - unknown npc,robbery,2014,0
jurong police division - unknown npc,robbery,2013,0
jurong police division - unknown npc,robbery,2012,0
jurong police division - unknown npc,robbery,2011,0
jurong police division - unknown npc,housebreaking,2024,0
jurong police division - unknown npc,housebreaking,2023,0
jurong police division - unknown npc,housebreaking,2022,0
jurong police division - unknown npc,housebreaking,2021,0
jurong police division - unknown npc,housebreaking,2020,0
jurong police division - unknown npc,housebreaking,2019,0
jurong police division - unknown npc,housebreaking,2018,0
jurong police division - unknown npc,housebreaking,2017,0
jurong police division - unknown npc,housebreaking,2016,0
jurong police division - unknown npc,housebreaking,2015,0
jurong police division - unknown npc,housebreaking,2014,0
jurong police division - unknown npc,housebreaking,2013,0
jurong police division - unknown npc,housebreaking,2012,0
jurong police division - unknown npc,housebreaking,2011,0
jurong police division - unknown npc,snatch theft,2024,0
jurong police division - unknown npc,snatch theft,2023,0
jurong police division - unknown npc,snatch theft,2022,0
jurong police division - unknown npc,snatch theft,2021,0
jurong police division - unknown npc,snatch theft,2020,0
jurong police division - unknown npc,snatch theft,2019,0
jurong police division - unknown npc,snatch theft,2018,0
jurong police division - unknown npc,snatch theft,2017,0
jurong police division - unknown npc,snatch theft,2016,0
jurong police division - unknown npc,snatch theft,2015,0
jurong police division - unknown npc,snatch theft,2014,0
jurong police division - unknown npc,snatch theft,2013,0
jurong police division - unknown npc,snatch theft,2012,0
jurong police division - unknown npc,snatch theft,2011,0
jurong police division - unknown npc,theft of motor vehicle,2024,0
jurong police division - unknown npc,theft of motor vehicle,2023,0
jurong police division - unknown npc,theft of motor vehicle,2022,0
jurong police division - unknown npc,theft of motor vehicle,2021,0
jurong police division - unknown npc,theft of motor vehicle,2020,0
jurong police division - unknown npc,theft of motor vehicle,2019,0
jurong police division - unknown npc,theft of motor vehicle,2018,0
jurong police division - unknown npc,theft of motor vehicle,2017,0
jurong police division - unknown npc,theft of motor vehicle,2016,0
jurong police division - unknown npc,theft of motor vehicle,2015,0
jurong police division - unknown npc,theft of motor vehicle,2014,0
jurong police division - unknown npc,theft of motor vehicle,2013,0
jurong police division - unknown npc,theft of motor vehicle,2012,0
jurong police division - unknown npc,theft of motor vehicle,2011,0
jurong police division - unknown npc,outrage of modesty,2024,3
jurong police division - unknown npc,outrage of modesty,2023,4
jurong police division - unknown npc,outrage of modesty,2022,0
jurong police division - unknown npc,outrage of modesty,2021,2
jurong police division - unknown npc,outrage of modesty,2020,2
jurong police division - unknown npc,outrage of modesty,2019,0
jurong police division - unknown npc,outrage of modesty,2018,0
jurong police division - unknown npc,outrage of modesty,2017,0
jurong police division - unknown npc,outrage of modesty,2016,0
jurong police division - unknown npc,outrage of modesty,2015,0
jurong police division - unknown npc,outrage of modesty,2014,0
jurong police division - unknown npc,outrage of modesty,2013,0
jurong police division - unknown npc,outrage of modesty,2012,0
jurong police division - unknown npc,outrage of modesty,2011,0
woodlands police division,robbery,2024,1
woodlands police division,robbery,2023,2
woodlands police division,robbery,2022,1
woodlands police division,robbery,2021,5
woodlands police division,robbery,2020,3
woodlands police division,robbery,2019,6
woodlands police division,robbery,2018,0
woodlands police division,robbery,2017,0
woodlands police division,robbery,2016,0
woodlands police division,robbery,2015,0
woodlands police division,robbery,2014,0
woodlands police division,robbery,2013,0
woodlands police division,robbery,2012,0
woodlands police division,robbery,2011,0
woodlands police division,housebreaking,2024,12
woodlands police division,housebreaking,2023,12
woodlands police division,housebreaking,2022,15
woodlands police division,housebreaking,2021,9
woodlands police division,housebreaking,2020,20
woodlands police division,housebreaking,2019,29
woodlands police division,housebreaking,2018,2
woodlands police division,housebreaking,2017,0
woodlands police division,housebreaking,2016,0
woodlands police division,housebreaking,2015,0
woodlands police division,housebreaking,2014,0
woodlands police division,housebreaking,2013,0
woodlands police division,housebreaking,2012,0
woodlands police division,housebreaking,2011,0
woodlands police division,snatch theft,2024,0
woodlands police division,snatch theft,2023,3
woodlands police division,snatch theft,2022,1
woodlands police division,snatch theft,2021,2
woodlands police division,snatch theft,2020,2
woodlands police division,snatch theft,2019,8
woodlands police division,snatch theft,2018,0
woodlands police division,snatch theft,2017,0
woodlands police division,snatch theft,2016,0
woodlands police division,snatch theft,2015,0
woodlands police division,snatch theft,2014,0
woodlands police division,snatch theft,2013,0
woodlands police division,snatch theft,2012,0
woodlands police division,snatch theft,2011,0
woodlands police division,theft of motor vehicle,2024,8
woodlands police division,theft of motor vehicle,2023,14
woodlands police division,theft of motor vehicle,2022,14
woodlands police division,theft of motor vehicle,2021,18
woodlands police division,theft of motor vehicle,2020,16
woodlands police division,theft of motor vehicle,2019,16
woodlands police division,theft of motor vehicle,2018,1
woodlands police division,theft of motor vehicle,2017,0
woodlands police division,theft of motor vehicle,2016,0
woodlands police division,theft of motor vehicle,2015,0
woodlands police division,theft of motor vehicle,2014,0
woodlands police division,theft of motor vehicle,2013,0
woodlands police division,theft of motor vehicle,2012,0
woodlands police division,theft of motor vehicle,2011,0
woodlands police division,outrage of modesty,2024,122
woodlands police division,outrage of modesty,2023,128
woodlands police division,outrage of modesty,2022,142
woodlands police division,outrage of modesty,2021,157
woodlands police division,outrage of modesty,2020,187
woodlands police division,outrage of modesty,2019,165
woodlands police division,outrage of modesty,2018,15
woodlands police division,outrage of modesty,2017,0
woodlands police division,outrage of modesty,2016,0
woodlands police division,outrage of modesty,2015,0
woodlands police division,outrage of modesty,2014,0
woodlands police division,outrage of modesty,2013,0
woodlands police division,outrage of modesty,2012,0
woodlands police division,outrage of modesty,2011,0
woodlands police division - woodlands east npc,robbery,2024,0
woodlands police division - woodlands east npc,robbery,2023,1
woodlands police division - woodlands east npc,robbery,2022,0
woodlands police division - woodlands east npc,robbery,2021,2
woodlands police division - woodlands east npc,robbery,2020,1
woodlands police division - woodlands east npc,robbery,2019,1
woodlands police division - woodlands east npc,robbery,2018,0
woodlands police division - woodlands east npc,robbery,2017,0
woodlands police division - woodlands east npc,robbery,2016,0
woodlands police division - woodlands east npc,robbery,2015,0
woodlands police division - woodlands east npc,robbery,2014,0
woodlands police division - woodlands east npc,robbery,2013,0
woodlands police division - woodlands east npc,robbery,2012,0
woodlands police division - woodlands east npc,robbery,2011,0
woodlands police division - woodlands east npc,housebreaking,2024,3
woodlands police division - woodlands east npc,housebreaking,2023,2
woodlands police division - woodlands east npc,housebreaking,2022,1
woodlands police division - woodlands east npc,housebreaking,2021,3
woodlands police division - woodlands east npc,housebreaking,2020,3
woodlands police division - woodlands east npc,housebreaking,2019,5
woodlands police division - woodlands east npc,housebreaking,2018,0
woodlands police division - woodlands east npc,housebreaking,2017,0
woodlands police division - woodlands east npc,housebreaking,2016,0
woodlands police division - woodlands east npc,housebreaking,2015,0
woodlands police division - woodlands east npc,housebreaking,2014,0
woodlands police division - woodlands east npc,housebreaking,2013,0
woodlands police division - woodlands east npc,housebreaking,2012,0
woodlands police division - woodlands east npc,housebreaking,2011,0
woodlands police division - woodlands east npc,snatch theft,2024,0
woodlands police division - woodlands east npc,snatch theft,2023,1
woodlands police division - woodlands east npc,snatch theft,2022,0
woodlands police division - woodlands east npc,snatch theft,2021,2
woodlands police division - woodlands east npc,snatch theft,2020,1
woodlands police division - woodlands east npc,snatch theft,2019,2
woodlands police division - woodlands east npc,snatch theft,2018,0
woodlands police division - woodlands east npc,snatch theft,2017,0
woodlands police division - woodlands east npc,snatch theft,2016,0
woodlands police division - woodlands east npc,snatch theft,2015,0
woodlands police division - woodlands east npc,snatch theft,2014,0
woodlands police division - woodlands east npc,snatch theft,2013,0
woodlands police division - woodlands east npc,snatch theft,2012,0
woodlands police division - woodlands east npc,snatch theft,2011,0
woodlands police division - woodlands east npc,theft of motor vehicle,2024,0
woodlands police division - woodlands east npc,theft of motor vehicle,2023,4
woodlands police division - woodlands east npc,theft of motor vehicle,2022,4
woodlands police division - woodlands east npc,theft of motor vehicle,2021,6
woodlands police division - woodlands east npc,theft of motor vehicle,2020,3
woodlands police division - woodlands east npc,theft of motor vehicle,2019,7
woodlands police division - woodlands east npc,theft of motor vehicle,2018,0
woodlands police division - woodlands east npc,theft of motor vehicle,2017,0
woodlands police division - woodlands east npc,theft of motor vehicle,2016,0
woodlands police division - woodlands east npc,theft of motor vehicle,2015,0
woodlands police division - woodlands east npc,theft of motor vehicle,2014,0
woodlands police division - woodlands east npc,theft of motor vehicle,2013,0
woodlands police division - woodlands east npc,theft of motor vehicle,2012,0
woodlands police division - woodlands east npc,theft of motor vehicle,2011,0
woodlands police division - woodlands east npc,outrage of modesty,2024,36
woodlands police division - woodlands east npc,outrage of modesty,2023,28
woodlands police division - woodlands east npc,outrage of modesty,2022,30
woodlands police division - woodlands east npc,outrage of modesty,2021,32
woodlands police division - woodlands east npc,outrage of modesty,2020,39
woodlands police division - woodlands east npc,outrage of modesty,2019,41
woodlands police division - woodlands east npc,outrage of modesty,2018,2
woodlands police division - woodlands east npc,outrage of modesty,2017,0
woodlands police division - woodlands east npc,outrage of modesty,2016,0
woodlands police division - woodlands east npc,outrage of modesty,2015,0
woodlands police division - woodlands east npc,outrage of modesty,2014,0
woodlands police division - woodlands east npc,outrage of modesty,2013,0
woodlands police division - woodlands east npc,outrage of modesty,2012,0
woodlands police division - woodlands east npc,outrage of modesty,2011,0
woodlands police division - woodlands west npc,robbery,2024,0
woodlands police division - woodlands west npc,robbery,2023,0
woodlands police division - woodlands west npc,robbery,2022,0
woodlands police division - woodlands west npc,robbery,2021,3
woodlands police division - woodlands west npc,robbery,2020,0
woodlands police division - woodlands west npc,robbery,2019,2
woodlands police division - woodlands west npc,robbery,2018,0
woodlands police division - woodlands west npc,robbery,2017,0
woodlands police division - woodlands west npc,robbery,2016,0
woodlands police division - woodlands west npc,robbery,2015,0
woodlands police division - woodlands west npc,robbery,2014,0
woodlands police division - woodlands west npc,robbery,2013,0
woodlands police division - woodlands west npc,robbery,2012,0
woodlands police division - woodlands west npc,robbery,2011,0
woodlands police division - woodlands west npc,housebreaking,2024,2
woodlands police division - woodlands west npc,housebreaking,2023,1
woodlands police division - woodlands west npc,housebreaking,2022,4
woodlands police division - woodlands west npc,housebreaking,2021,0
woodlands police division - woodlands west npc,housebreaking,2020,2
woodlands police division - woodlands west npc,housebreaking,2019,5
woodlands police division - woodlands west npc,housebreaking,2018,0
woodlands police division - woodlands west npc,housebreaking,2017,0
woodlands police division - woodlands west npc,housebreaking,2016,0
woodlands police division - woodlands west npc,housebreaking,2015,0
woodlands police division - woodlands west npc,housebreaking,2014,0
woodlands police division - woodlands west npc,housebreaking,2013,0
woodlands police division - woodlands west npc,housebreaking,2012,0
woodlands police division - woodlands west npc,housebreaking,2011,0
woodlands police division - woodlands west npc,snatch theft,2024,0
woodlands police division - woodlands west npc,snatch theft,2023,0
woodlands police division - woodlands west npc,snatch theft,2022,0
woodlands police division - woodlands west npc,snatch theft,2021,0
woodlands police division - woodlands west npc,snatch theft,2020,0
woodlands police division - woodlands west npc,snatch theft,2019,2
woodlands police division - woodlands west npc,snatch theft,2018,0
woodlands police division - woodlands west npc,snatch theft,2017,0
woodlands police division - woodlands west npc,snatch theft,2016,0
woodlands police division - woodlands west npc,snatch theft,2015,0
woodlands police division - woodlands west npc,snatch theft,2014,0
woodlands police division - woodlands west npc,snatch theft,2013,0
woodlands police division - woodlands west npc,snatch theft,2012,0
woodlands police division - woodlands west npc,snatch theft,2011,0
woodlands police division - woodlands west npc,theft of motor vehicle,2024,4
woodlands police division - woodlands west npc,theft of motor vehicle,2023,4
woodlands police division - woodlands west npc,theft of motor vehicle,2022,5
woodlands police division - woodlands west npc,theft of motor vehicle,2021,3
woodlands police division - woodlands west npc,theft of motor vehicle,2020,3
woodlands police division - woodlands west npc,theft of motor vehicle,2019,5
woodlands police division - woodlands west npc,theft of motor vehicle,2018,0
woodlands police division - woodlands west npc,theft of motor vehicle,2017,0
woodlands police division - woodlands west npc,theft of motor vehicle,2016,0
woodlands police division - woodlands west npc,theft of motor vehicle,2015,0
woodlands police division - woodlands west npc,theft of motor vehicle,2014,0
woodlands police division - woodlands west npc,theft of motor vehicle,2013,0
woodlands police division - woodlands west npc,theft of motor vehicle,2012,0
woodlands police division - woodlands west npc,theft of motor vehicle,2011,0
woodlands police division - woodlands west npc,outrage of modesty,2024,28
woodlands police division - woodlands west npc,outrage of modesty,2023,35
woodlands police division - woodlands west npc,outrage of modesty,2022,26
woodlands police division - woodlands west npc,outrage of modesty,2021,32
woodlands police division - woodlands west npc,outrage of modesty,2020,38
woodlands police division - woodlands west npc,outrage of modesty,2019,39
woodlands police division - woodlands west npc,outrage of modesty,2018,7
woodlands police division - woodlands west npc,outrage of modesty,2017,0
woodlands police division - woodlands west npc,outrage of modesty,2016,0
woodlands police division - woodlands west npc,outrage of modesty,2015,0
woodlands police division - woodlands west npc,outrage of modesty,2014,0
woodlands police division - woodlands west npc,outrage of modesty,2013,0
woodlands police division - woodlands west npc,outrage of modesty,2012,0
woodlands police division - woodlands west npc,outrage of modesty,2011,0
woodlands police division - yishun north npc,robbery,2024,1
woodlands police division - yishun north npc,robbery,2023,1
woodlands police division - yishun north npc,robbery,2022,1
woodlands police division - yishun north npc,robbery,2021,0
woodlands police division - yishun north npc,robbery,2020,2
woodlands police division - yishun north npc,robbery,2019,1
woodlands police division - yishun north npc,robbery,2018,0
woodlands police division - yishun north npc,robbery,2017,0
woodlands police division - yishun north npc,robbery,2016,0
woodlands police division - yishun north npc,robbery,2015,0
woodlands police division - yishun north npc,robbery,2014,0
woodlands police division - yishun north npc,robbery,2013,0
woodlands police division - yishun north npc,robbery,2012,0
woodlands police division - yishun north npc,robbery,2011,0
woodlands police division - yishun north npc,housebreaking,2024,3
woodlands police division - yishun north npc,housebreaking,2023,3
woodlands police division - yishun north npc,housebreaking,2022,3
woodlands police division - yishun north npc,housebreaking,2021,1
woodlands police division - yishun north npc,housebreaking,2020,6
woodlands police division - yishun north npc,housebreaking,2019,12
woodlands police division - yishun north npc,housebreaking,2018,2
woodlands police division - yishun north npc,housebreaking,2017,0
woodlands police division - yishun north npc,housebreaking,2016,0
woodlands police division - yishun north npc,housebreaking,2015,0
woodlands police division - yishun north npc,housebreaking,2014,0
woodlands police division - yishun north npc,housebreaking,2013,0
woodlands police division - yishun north npc,housebreaking,2012,0
woodlands police division - yishun north npc,housebreaking,2011,0
woodlands police division - yishun north npc,snatch theft,2024,0
woodlands police division - yishun north npc,snatch theft,2023,1
woodlands police division - yishun north npc,snatch theft,2022,1
woodlands police division - yishun north npc,snatch theft,2021,0
woodlands police division - yishun north npc,snatch theft,2020,1
woodlands police division - yishun north npc,snatch theft,2019,4
woodlands police division - yishun north npc,snatch theft,2018,0
woodlands police division - yishun north npc,snatch theft,2017,0
woodlands police division - yishun north npc,snatch theft,2016,0
woodlands police division - yishun north npc,snatch theft,2015,0
woodlands police division - yishun north npc,snatch theft,2014,0
woodlands police division - yishun north npc,snatch theft,2013,0
woodlands police division - yishun north npc,snatch theft,2012,0
woodlands police division - yishun north npc,snatch theft,2011,0
woodlands police division - yishun north npc,theft of motor vehicle,2024,1
woodlands police division - yishun north npc,theft of motor vehicle,2023,4
woodlands police division - yishun north npc,theft of motor vehicle,2022,2
woodlands police division - yishun north npc,theft of motor vehicle,2021,7
woodlands police division - yishun north npc,theft of motor vehicle,2020,2
woodlands police division - yishun north npc,theft of motor vehicle,2019,1
woodlands police division - yishun north npc,theft of motor vehicle,2018,0
woodlands police division - yishun north npc,theft of motor vehicle,2017,0
woodlands police division - yishun north npc,theft of motor vehicle,2016,0
woodlands police division - yishun north npc,theft of motor vehicle,2015,0
woodlands police division - yishun north npc,theft of motor vehicle,2014,0
woodlands police division - yishun north npc,theft of motor vehicle,2013,0
woodlands police division - yishun north npc,theft of motor vehicle,2012,0
woodlands police division - yishun north npc,theft of motor vehicle,2011,0
woodlands police division - yishun north npc,outrage of modesty,2024,27
woodlands police division - yishun north npc,outrage of modesty,2023,28
woodlands police division - yishun north npc,outrage of modesty,2022,36
woodlands police division - yishun north npc,outrage of modesty,2021,34
woodlands police division - yishun north npc,outrage of modesty,2020,48
woodlands police division - yishun north npc,outrage of modesty,2019,46
woodlands police division - yishun north npc,outrage of modesty,2018,4
woodlands police division - yishun north npc,outrage of modesty,2017,0
woodlands police division - yishun north npc,outrage of modesty,2016,0
woodlands police division - yishun north npc,outrage of modesty,2015,0
woodlands police division - yishun north npc,outrage of modesty,2014,0
woodlands police division - yishun north npc,outrage of modesty,2013,0
woodlands police division - yishun north npc,outrage of modesty,2012,0
woodlands police division - yishun north npc,outrage of modesty,2011,0
woodlands police division - yishun south npc,robbery,2024,0
woodlands police division - yishun south npc,robbery,2023,0
woodlands police division - yishun south npc,robbery,2022,0
woodlands police division - yishun south npc,robbery,2021,0
woodlands police division - yishun south npc,robbery,2020,0
woodlands police division - yishun south npc,robbery,2019,1
woodlands police division - yishun south npc,robbery,2018,0
woodlands police division - yishun south npc,robbery,2017,0
woodlands police division - yishun south npc,robbery,2016,0
woodlands police division - yishun south npc,robbery,2015,0
woodlands police division - yishun south npc,robbery,2014,0
woodlands police division - yishun south npc,robbery,2013,0
woodlands police division - yishun south npc,robbery,2012,0
woodlands police division - yishun south npc,robbery,2011,0
woodlands police division - yishun south npc,housebreaking,2024,2
woodlands police division - yishun south npc,housebreaking,2023,0
woodlands police division - yishun south npc,housebreaking,2022,3
woodlands police division - yishun south npc,housebreaking,2021,0
woodlands police division - yishun south npc,housebreaking,2020,1
